8904686;A study of open source software evolution data using qualitative simulation.;287-300;https://doi.org/10.1002/spip.230;db/journals/sopr/sopr10.html#SmithCR05;10;2005;120419590
8542177;Performance evaluation of multirate time division multiplexed wavelength routed optical networks.;1644-1650;https://doi.org/10.1016/S0140-3664(03)00097-5;db/journals/comcom/comcom26.html#FengerG03;26;2003;120415980
6573991;Study on Quantum Electro-Dynamics in Vertical MOSFET.;552-556;http://search.ieice.org/bin/summary.php?id=e93-c_5_552|https://doi.org/10.1587/transele.E93.C.552;db/journals/ieicet/ieicet93c.html#MuraguchiE10;93-C;2010;120404230
6231151;Hybrid Renewable Energy Source Combined Dynamic Voltage Restorer for Power Quality Improvement.;517-538;https://doi.org/10.32604/csse.2022.019149;db/journals/csse/csse40.html#Kanagaraj22;40;2022;120401890
6722676;Flow Visualization and Analysis Using Streak and Time Lines.;78-84;http://doi.ieeecomputersociety.org/10.1109/MCSE.2012.97|https://doi.org/10.1109/MCSE.2012.97;db/journals/cse/cse14.html#WeinkaufT12;14;2012;120405630
6196431;File size distribution on UNIX systems: then and now.;100-104;https://doi.org/10.1145/1113361.1113364;db/journals/sigops/sigops40.html#TanenbaumHB06;40;2006;120401440
8419739;An Empirical Study on Using Multi-Labels for Issues in GitHub.;134984-134997;https://doi.org/10.1109/ACCESS.2021.3116061;db/journals/access/access9.html#KimL21e;9;2021;120415590
6524343;Tropical Cyclone Rainfall Estimates from FY-3B MWRI Brightness Temperatures Using the WS Algorithm.;1770;https://doi.org/10.3390/rs10111770;db/journals/remotesensing/remotesensing10.html#ZhangWH18;10;2018;120403920
8141196;The Rock Stars of eLearning: An interview with Judy Katz.;5;http://doi.acm.org/10.1145/2513561.2517999;db/journals/elearn/elearn2013.html#Raymer13k;2013;2013;120413710
8713252;Mean sojourn times in two-queue fork-join systems: bounds and approximations.;723-742;https://doi.org/10.1007/s00291-010-0235-y|https://www.wikidata.org/entity/Q56641093;db/journals/ors/ors34.html#KemperM12;34;2012;120417710
